quoteid,purchasecmpny,dept,reroutersncode,reroutersntxt,reroutecmnt,reroutelastchngts,reroutecmnt_cln
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
12066089,1001,32,13,IPR Concern,"IPR Concern; We have on record a trademark authorization letter from Jasani Designs USA authorizing the supplier in this quote to use the Jasani symbol on this product. However, the brand name in the quote indicates HOLD MY HAND as the brand name, and we do not have an authorization letter from Jasani Designs, who owns the HOLD MY HAND brand, allowing use of this name. Please attach a trademark authorization letter to the quote from Jasani Designs authorizing the use of the HOLD MY HAND name on ",2019-10-31 16:08:49.0,record trademark authorization letter jasani design usa authorizing supplier quote jasani symbol product however brand name quote indicate hold hand brand name authorization letter jasani design own hold hand brand allowing name attach trademark authorization letter quote jasani design authorizing hold hand name
12062639,1001,32,13,IPR Concern,"IPR Concern; We have on record a trademark authorization letter from Jasani Designs USA authorizing the supplier in this quote to use the Jasani symbol on this product. However, the brand name in the quote indicates HOLD MY HAND as the brand name, and we do not have an authorization letter from Jasani Designs, who owns the HOLD MY HAND brand, allowing use of this name. Please attach a trademark authorization letter to the quote from Jasani Designs authorizing the use of the HOLD MY HAND name on ",2019-10-31 16:08:49.0,record trademark authorization letter jasani design usa authorizing supplier quote jasani symbol product however brand name quote indicate hold hand brand name authorization letter jasani design own hold hand brand allowing name attach trademark authorization letter quote jasani design authorizing hold hand name
10825668,1001,32,13,IPR Concern,"IPR Concern; The picture of the trademark will not open in Supplier Quote or in our TA system.TESS has indicated a mark for Filk S. p. A., but indicates the trademark is ""dead"" and was cancelled as of March 18 2016.1.Please provide a picture of the active Filk trademark if there is one.2.If it is the same symbol as the one in the TESS database that shows as cancelled, please provide a trademark release letter from FILK indicating the status of the mark. The letter should be dated and signed",2019-10-31 15:02:04.0,picture trademark open supplier quote system tess indicated mark filk indicate trademark dead cancelled march provide picture active filk trademark one symbol one tess database show cancelled provide trademark release letter filk indicating status mark letter dated signed
13512180,1001,10,13,IPR Concern,IPR Concern; TRL,2019-10-31 14:13:57.0,trl
13458296,1001,7,13,IPR Concern,IPR Concern; Missing trademark release for Minions. ,2019-10-31 11:20:13.0,missing trademark release minion
13464415,1001,25,13,IPR Concern,IPR Concern; IPR letter needs to be on letterhead and needs a signature.,2019-10-31 02:19:13.0,ipr letter need letterhead need signature
12941921,1001,16,13,IPR Concern,IPR Concern; Please attach a dated trademark release letter from Conair authorizing the Boltz group to use the brand. ,2019-10-30 18:05:22.0,attach dated trademark release letter conair authorizing boltz group brand
12942039,1001,16,13,IPR Concern,IPR Concern; Please attach a dated trademark release letter from Conair authorizing the Boltz group to use the brand. ,2019-10-30 18:03:00.0,attach dated trademark release letter conair authorizing boltz group brand
12772552,1001,7,13,IPR Concern,IPR Concern; Please attach use authorization letter/license for Minions,2019-10-30 15:42:38.0,attach authorization letter license minion
12808821,1001,7,13,IPR Concern,IPR Concern; Missing TML release for TOP GUN,2019-10-30 13:22:49.0,missing tml release top gun
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13423936,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Letter allowing supplier to use the brand Body Glove to each product.,2019-10-30 13:06:02.0,attach trademark letter allowing supplier brand body glove product
13449847,1001,11,13,IPR Concern,IPR Concern; Please correct the Brand under Label Information. This is not unbranded. ,2019-10-30 09:21:42.0,correct brand label information unbranded
12226265,1001,79,13,IPR Concern,IPR Concern; Please change the packaging description from Vendor Labeling to Graco.,2019-10-30 09:17:46.0,change packaging description vendor labeling graco
12230162,1001,79,13,IPR Concern,IPR Concern; Please change the packaging description from Vendor Labeling to Graco.,2019-10-30 09:17:46.0,change packaging description vendor labeling graco
12226265,1001,79,13,IPR Concern,IPR Concern; change product description from Vendor Labeling to Graco,2019-10-30 09:17:46.0,change product description vendor labeling graco
12230162,1001,79,13,IPR Concern,IPR Concern; correct product description to Graco,2019-10-30 09:17:46.0,correct product description graco
12230249,1001,79,13,IPR Concern,IPR Concern; change packaging description to graco,2019-10-30 09:17:46.0,change packaging description graco
12230249,1001,79,13,IPR Concern,IPR Concern; Please change the packaging description from Vendor Labeling to Graco.,2019-10-30 09:17:46.0,change packaging description vendor labeling graco
12230125,1001,79,13,IPR Concern,IPR Concern; Please change the packaging description from Vendor Labeling to Graco.,2019-10-30 09:17:45.0,change packaging description vendor labeling graco
12230125,1001,79,13,IPR Concern,IPR Concern; The Packaging Description on the Product Information page in Supplier Quote needs to be changed from Vendor Labeling to Graco.,2019-10-30 09:17:45.0,packaging description product information page supplier quote need changed vendor labeling graco
12131306,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:41.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12131803,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:41.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12131286,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Babideal. If Babideal is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:41.0,correct brand name packaging description babideal babideal available complete attached form submit royalty walmart com
12131265,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:40.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12131276,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:40.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12105127,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:40.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12104982,1001,79,13,IPR Concern, ,2019-10-30 09:17:37.0,
12105052,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Babideal. If Babideal is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:37.0,correct brand name packaging description babideal babideal available complete attached form submit royalty walmart com
12104996,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Babideal. If Babideal is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:37.0,correct brand name packaging description babideal babideal available complete attached form submit royalty walmart com
12104759,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:36.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12104705,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to BABIDEAL.If BABIDEAL is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:36.0,correct brand name packaging description babideal babideal available complete attached form submit royalty walmart com
12104326,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:35.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12101952,1001,79,13,IPR Concern,IPR Concern; Correct brand name and packaging description to Monbebe.,2019-10-30 09:17:34.0,correct brand name packaging description monbebe
12101993,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:34.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12102014,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:34.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
12102075,1001,79,13,IPR Concern,"IPR Concern; Correct brand name and packaging description to Monbebe. If Monbebe is not available, complete the attached form and submit to royalties@walmart.com.",2019-10-30 09:17:34.0,correct brand name packaging description monbebe monbebe available complete attached form submit royalty walmart com
11723233,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE, but it looks like the name may read FADED GLORY or a brand other than GEORGE. Please attach a better picture that shows the brand name inside of the shoe. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:43.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture show brand name inside shoe george attach correct picture
11723109,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE, but it looks like the name may read FADED GLORY or a brand other than GEORGE. Please attach a better picture that shows the brand name inside of the shoe. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:40.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture show brand name inside shoe george attach correct picture
11723234,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE, but it looks like the name may read FADED GLORY or a brand other than GEORGE. Please attach a better picture that shows the brand name inside of the shoe. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:39.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture show brand name inside shoe george attach correct picture
11723102,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE, but it looks like the name may read FADED GLORY or a brand other than GEORGE. Please attach a better picture that shows the brand name inside of the shoe. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:36.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture show brand name inside shoe george attach correct picture
11721523,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE; it looks like the name may read FADED GLORY or some other brand other than GEORGE. Please attach better pictures inside the quotes that clearly show the brand name inside of the shoes. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:34.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture inside quote clearly show brand name inside shoe george attach correct picture
11723059,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE, but it looks like the name may read FADED GLORY or a brand other than GEORGE. Please attach a better picture that shows the brand name inside of the shoe. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:31.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture show brand name inside shoe george attach correct picture
11723049,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE, but it looks like the name may read FADED GLORY or a brand other than GEORGE. Please attach a better picture that shows the brand name inside of the shoe. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:28.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture show brand name inside shoe george attach correct picture
11723044,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE, but it looks like the name may read FADED GLORY or a brand other than GEORGE. Please attach a better picture that shows the brand name inside of the shoe. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:25.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture show brand name inside shoe george attach correct picture
11722859,1001,25,13,IPR Concern,"IPR Concern; The picture of the inside of the shoe is not clear enough to determine if the brand name is GEORGE, but it looks like the name may read FADED GLORY or a brand other than GEORGE. Please attach a better picture that shows the brand name inside of the shoe. If it is not GEORGE, please attach the correct picture. ",2019-10-30 06:01:22.0,picture inside shoe clear enough determine brand name george look like name may read faded glory brand george attach better picture show brand name inside shoe george attach correct picture
12604008,1001,9,13,IPR Concern,IPR Concern; Vendor Labeling is not acceptable. Please enter the brand in the Label Information/Packaging Description.,2019-10-29 18:29:44.0,vendor labeling acceptable enter brand label information packaging description
12548708,1001,9,13,IPR Concern,IPR Concern; Vendor Labeling,2019-10-29 18:29:41.0,vendor labeling
12548745,1001,9,13,IPR Concern,IPR Concern; Vendor Labeling,2019-10-29 18:29:39.0,vendor labeling
13344612,1001,25,13,IPR Concern,IPR Concern; The branded name Steve Madden is on the inside of the footwear.This brand  is supposed to be Time and Tru.Please remove all pictures referencing Steve Madden footwear and replace with the Time and Tru shoe,2019-10-29 16:06:16.0,branded name steve madden inside footwear brand supposed time tru remove picture referencing steve madden footwear replace time tru shoe
13432953,1001,7,13,IPR Concern,"IPR Concern; Please provide the TML for Monster Trucks""Pur die cast car"" is not an acceptable material name - please change this to the material used",2019-10-29 13:34:08.0,provide tml monster truck pur die cast car acceptable material name change material used
12449408,1001,7,13,IPR Concern,"IPR Concern; Please attach a use authorization letter or amendment, providing dates license is valid. ",2019-10-29 04:13:16.0,attach authorization letter amendment providing date license valid
13458296,1001,7,13,IPR Concern,IPR Concern; Missing trademark release letter to Just Play from Universal for Minions.,2019-10-29 03:33:54.0,missing trademark release letter play universal minion
11851069,1001,74,13,IPR Concern,IPR Concern; The trademark letter attached is not translated into English. Please attach a translated copy. ,2019-10-28 23:12:14.0,trademark letter attached translated english attach translated copy
12710585,1001,7,13,IPR Concern,IPR Concern; The Pinkfong trademark letter lists a manufacturer's name on it that is not the one indicated in the quote.Please provide an updated letter.,2019-10-28 22:03:28.0,pinkfong trademark letter list manufacturer name one indicated quote provide updated letter
13340933,1001,10,13,IPR Concern,IPR Concern; Please provide TM letter that will cover the entry dates. ,2019-10-28 18:57:37.0,provide letter cover entry date
13340933,1001,10,13,IPR Concern,IPR Concern; Attach an updated Dickies Trademark Release Letter.,2019-10-28 18:57:37.0,attach updated dicky trademark release letter
12265173,1001,10,13,IPR Concern,IPR Concern; Dickies,2019-10-28 18:57:37.0,dicky
13474721,1001,7,13,IPR Concern,"IPR Concern; Please confirm if this item is supposed to contain 3 button-cell batteries or LR44 batteries? Currently only the vinnic button-cell battery is provided If item is supposed to also contain LR44 batteries, please provide a TML, battery image, and correct the large description - if does not contain the LR44 battery, please correct the packaging ""Wrapper"" is not an acceptable material name - please correct this to the correct material",2019-10-28 16:34:19.0,confirm item supposed contain button cell battery battery currently vinnic button cell battery provided item supposed also contain battery provide tml battery image correct large description contain battery correct packaging wrapper acceptable material name correct correct material
13445487,1001,11,13,IPR Concern,IPR Concern; Please correct the Brand under Label Information. This is not unbranded. ,2019-10-28 14:30:33.0,correct brand label information unbranded
12618347,1001,9,13,IPR Concern,IPR Concern; Label Information,2019-10-28 14:07:14.0,label information
12618347,1001,9,13,IPR Concern,IPR Concern; Label Information,2019-10-28 14:07:14.0,label information
12618347,1001,9,13,IPR Concern,IPR Concern; Label Information,2019-10-28 14:07:14.0,label information
12618347,1001,9,13,IPR Concern,IPR Concern; Label Information,2019-10-28 14:07:14.0,label information
13348743,1001,7,13,IPR Concern,IPR Concern; Trademark release letter to Just Play for PJ Masks expires before ship date.,2019-10-28 13:57:32.0,trademark release letter play mask expire ship date
13348629,1001,7,13,IPR Concern,IPR Concern; Trademark release letter to Just Play for PJ Masks expires before ship date.,2019-10-28 13:57:31.0,trademark release letter play mask expire ship date
11549009,1001,3,13,IPR Concern,IPR Concern; ?	Please attach a copy of trademark use authorization - branding is listed to Pink Light Designs,2019-10-28 13:49:56.0,attach copy trademark authorization branding listed pink light design
